Nmax	Nmaxvar		var						E_res						b
00	20	1.2822975666848575	-1.78968290416373140	20
02	20	1.5491629954318520	-1.44381602931957120	20
04	20	1.5897272195762535	-1.18779672221080600	20
06	20	1.5220502566548700	-0.97708845150115530	20
08	20	1.3894474629186933	-0.79492870110939620	20	
10	20	1.2133729097023598	-0.63290475342236570	20
12	20	1.0062646035603650	-0.48609040097944467	20
14	20	0.7760749394194244	-0.35130646979838076	20
16	20	0.5282398338797290	-0.22635865651446085	20
18	20	0.2666596586536443	-0.10965587024823442	20
20	20	0.0000000000000000	00.00000000000000000	20



	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
