Nmax	Nmax_var	variance	E_res	b
00	20	0.586208369674112	-1.2316753546389174	30
02	20	0.7127253702942729	-0.9987530151351324	30
04	20	0.7355513399548752	-0.8252000814559085	30
06	20	0.7079994770033169	-0.6814546396190082	30
08	20	0.6496342585309192	-0.556413734538975	30
10	20	0.5701540950244615	-0.4445171488047379	30
10	20	0.47519124353195785	-0.34251624798139924	30
14	20	0.3683563825458944	-0.24831925035457036	30
16	20	0.2521267296718994	-0.16048570521718952	30
18	20	0.128288171579642	-0.07797356783219977	30
20	20	0.000000000000000	0.0	30
