nmax	nmax_var	var	E_res	b
00	20	0.33305900122279997	-0.3530201266687866	40
02	20	0.4058563601630934	-0.5284143436367623	40
04	20	0.4197056341355154	-0.6594253114795713	40
06	20	0.40476058254159897	-0.7681915761391613	40
08	20	0.37208445018813985	-0.8630222100199372	40
10	20	0.3271606807307932	-0.9480753354273745	40
12	20	0.2731737616037355	-1.0257786348965303	40
14	20	0.21216557020117155	-1.097694131247744	40
16	20	0.14553755259461143	-1.164896665398313	40
18	20	0.07430066150665793	-1.2281632036335932	40
20	20	0.00000000000000000	-1.2880769942792152	40
