nmax	nmax_var	var	E	b
00	20	0.21415666019598076	-0.28252964322665697	50
02	20	0.261240882398136	-0.4231361591162915	50
04	20	0.2704126458953381	-0.528290067446458	50
06	20	0.26101941282970104	-0.6156901769658991	50
08	20	0.24015858403620677	-0.6919771469960416	50
10	20	0.21134743222612595	-0.7604731178613156	50
12	20	0.17662837508560625	-0.8231170673335622	50
14	20	0.13731092356766306	-0.8811561684942875	50
16	20	0.09429386211388813	-0.9354483283586051	50
18	20	0.04822558193040405	-0.9866134919846319	50
20	20	0.0000000000000000	-1.0351168788915062	50
