nmax	nmax_Var	var	E	b
00	20	15.331463307741778	-6.497504486493742	0.4
02	20	6.334453275317763	-7.527992560407091	0.4
04	20	2.9481072166949644	-7.800826131276843	0.4
06	20	1.4138651289121213	-7.8932555796865715	0.4
08	20	0.6877858164886064	-7.928028500073754	0.4
10	20	0.3392367215069143	-7.941968608014475	0.4
12	20	0.17006531228607003	-7.947833152109006	0.4
14	20	0.08683419201751974	-7.950403953547096	0.4
16	20	0.04520673830146649	-7.9515731973958115	0.4
18	20	0.02400158445850309	-7.952123146124333	0.4
20	20	0.00000000000000000	-7.9523898886018864	0.4
