nmax	nmax_var	var	E	b
00	20	982.743644678305	12.278002018949657	0.15
02	20	537.1348766419503	2.35448742279577	0.15
04	20	366.993131175629	-1.3682069341619414	0.15
06	20	276.29146888772453	-3.305390118335089	0.15
08	20	219.50168270594548	-4.482711701457797	0.15
10	20	180.36262532331605	-5.266602875206834	0.15
12	20	151.61203260569994	-5.820768423448095	0.15
14	20	129.51636416689303	-6.229391391650249	0.15
16	20	111.95868722226943	-6.540202260195814	0.15
18	20	97.64824589530954	-6.782285215077716	0.15
20	20	0.000000000000000	-6.974372715890539	0.15
