n_max	nmax_var	variance	E	b
0.00000000	20.00000000	0.20569978	-7.92218726	0.66874030 
2.00000000	20.00000000	0.08606766	-7.94540085	0.66874030 
4.00000000	20.00000000	0.00820363	-7.95208677	0.66874030 
6.00000000	20.00000000	0.00227177	-7.95254373	0.66874030 
8.00000000	20.00000000	0.00038930	-7.95264986	0.66874030 
10.00000000	20.00000000	0.00010815	-7.95266531	0.66874030 
12.00000000	20.00000000	0.00002586	-7.95266912	0.66874030 
14.00000000	20.00000000	0.00000778	-7.95266994	0.66874030 
16.00000000	20.0000000	0.00000227	-7.95267016	0.66874030 
18.00000000	20.00000000	0.00000074	-7.95267022	0.66874030 
20.00000000	20.00000000	-0.00000000	-7.95267024	0.66874030
